id,aligned,n_revisions,human_explanation,llm_explanation,human_n_explanation,llm_n_explanation,human_n_statements,llm_n_statements,human_statement_char_length,human_statement_token_length,llm_statement_char_length,llm_statement_token_length,human_explanation_char_length,human_explanation_token_length,llm_explanation_char_length,llm_explanation_token_length,human_explanation_avg_char_length,human_explanation_avg_token_length,llm_explanation_avg_char_length,llm_explanation_avg_token_length,source,errant_error_type
wiki_dev_145,It belongs to the same genus {as=>of} plants formerly used to produce indigo {dyee=>dye} .,2,"- ""Of"" is the best and clearest preposition to come after ""genus"" in this context.","- 'Of' is used to describe a relationship between two things, whereas 'as' is used to compare or liken two things. In this case, 'of' is more appropriate.
- 'Dyee' is misspelled, and 'dye' is the correct spelling.",explanation_2,explanation_1,1,2,[80],[19],"[152, 56]","[37, 15]",80,19,208,52,80.0,19.0,104.0,26.0,wiki,"['R:PREP', 'R:SPELL']"
wiki_dev_343,"Steffen Iversen ( born November 10 , {1976=>1976,} in Oslo ) is a Norwegian soccer player .",1,- A comma is usually put after the year in complete dates.,"- A comma is needed after the birthdate to separate the additional information.
- This edit adds a comma to make the sentence clearer and easier to read.",explanation_1,explanation_2,1,2,[56],[12],"[77, 71]","[13, 15]",56,12,148,28,56.0,12.0,74.0,14.0,wiki,['R:OTHER']
wiki_test_634,"In April of 1874 , a group consisting of Monet , Renoir , Pissarro , Sisley , Cézanne , Berthe Morisot {=>,} and Edgar Degas {,=>} organized their own exhibition at the studio of the photographer Nadar .",2,"- An Oxford comma was added after the penultimate item in the list, immediately before the ""and."" This is a style edit, not grammatically required.
- The extra comma at the end of the list of names was deleted. This list is not parenthetical information included in the middle of the sentence, so no commas are needed to separate it as extra information.","- The comma before ""and"" is unnecessary and can be removed to adhere to grammar rules.
- The comma after ""Morisot"" was added to maintain consistency in the list of names.",explanation_1,explanation_2,2,2,"[145, 204]","[30, 40]","[84, 81]","[18, 17]",349,70,165,35,174.5,35.0,82.5,17.5,wiki,"['M:PUNCT', 'U:PUNCT']"
fce_test_514,I always had my own key and {unlock=>unlocked} the door {by=>} myself .,2,"- This edit changes the verb to the past tense to fit the context of the overall sentence.
- This ""by"" is not necessary and deleted to make the sentence more concise.","- The verb ""unlock"" needs to be in the past tense to match the past tense ""had.""
- ""By"" is unnecessary in this sentence and can be removed without changing the meaning.
- The revised sentence is more concise and clear.",explanation_2,explanation_1,2,3,"[88, 73]","[18, 16]","[78, 85, 47]","[21, 17, 9]",161,34,210,47,80.5,17.0,70.0,15.666666666666666,fce,"['R:VERB:TENSE', 'U:PREP']"
wiki_dev_791,"Nixon 's efforts to get publicity were aided by the birth of his daughter {=>,} Tricia {=>,} in late February {, and the=>. The} new father was extensively interviewed and photographed with his new daughter .",3,"- Commas are placed before and the name of a described person.
- The two independent clauses are sepearated into two sentences to improve conciseness.","- Commas were added to set off Tricia's name as an appositive to ""his daughter,"" making the sentence clearer and easier to read.
- The conjunction ""and"" was changed to a period to create two separate sentences, improving the flow and readability of the text.",explanation_2,explanation_1,2,2,"[60, 85]","[12, 13]","[126, 127]","[27, 25]",145,25,253,52,72.5,12.5,126.5,26.0,wiki,"['M:PUNCT', 'M:PUNCT', 'R:PUNCT', 'U:CONJ']"
fce_test_249,"Firstly , I would like to mention {is=>} that in our daily {life=>lives} we always use some technological {machines . For=>machine , for} instance , {TV-set=>TV sets} , {stereo=>stereos} , microwave {oven=>ovens ,} and others .",6,"- The auxiliary ""is"" was deleted because the verb phrase ""would like to mention"" is usually followed by a complement clause that begins with ""that.""
- The singular noun ""life"" was replaced with the plural form ""lives"" because the pronoun before it is the plural possessive pronoun ""our.""
- The noun ""machines"" was replaced with ""machine"" because it is preceded by ""some.""
- The dependent clause beginning with ""for instance"" was combined with the independent clause by substituting the period before ""for instance"" with a comma.  The dependent clause provides extra information and has to be combined with an independent clause.
- The nouns in the list of items were replaced with the plural form because these nouns refer to the entire group of ""TV sets,"" ""stereos,"" and ""microwave ovens"" in general.
- An Oxford comma was added after the penultimate item in the list, immediately before the ""and."" This is a style edit, not grammatically required.","- The verb 'is' was removed because it does not fit grammatically with the sentence structure.
- 'Life' was changed to 'lives' to match the plural subject 'we.'
- The plural form of 'machine' was used instead of the singular form, and a comma was added after 'machine' to separate it from the introductory phrase.
- The hyphenated 'TV-set' was changed to 'TV sets' to match standard English usage.
- 'Stereo' was changed to 'stereos' to match the plural subject 'we.'
- A comma was added after 'microwave ovens' to separate it from the final item in the list, 'others.'",explanation_2,explanation_1,6,6,"[146, 136, 81, 254, 170, 145]","[31, 29, 20, 45, 39, 30]","[92, 63, 150, 81, 67, 99]","[18, 18, 32, 20, 18, 24]",932,194,552,130,155.33333333333334,32.333333333333336,92.0,21.666666666666668,fce,"['U:VERB', 'R:NOUN:NUM', 'R:NOUN:NUM', 'R:PUNCT', 'R:NOUN', 'R:NOUN:NUM', 'R:NOUN:NUM', 'M:PUNCT']"
fce_dev_79,"Next to the restaurant , there is a {disco=>club} for people who like dancing .",1,"- The word ""disco"" is replaced with the word ""club"" because this lexical choice is a more suitable equivalent.","- The word ""disco"" is not commonly used in contemporary English and has been replaced with the more common word ""club.""",explanation_2,explanation_1,1,1,[108],[23],[117],[25],108,23,117,25,108.0,23.0,117.0,25.0,fce,['R:NOUN']
fce_dev_825,"Finally , I just want to say that the perfect evening that the advertisement {said=>promoted ,} and that we all wished {=>for ,} turned out to be a regret {for the wasted=>and a waste of} money .",3,"- The word ""said"" is replaced with the word ""promoted"" because it is a more suitable equivalent.
- The preposition ""for"" was added because this is the correct collocation with the verb ""wished.""
- A comma was inserted after ""promoted"" and after ""for"" to mark off the parenthetical information added in the middle of the sentence. A pair of commas are used to enclose this explanatory information.
- The phrase ""for the wasted money"" was changed to ""and a waste of money."" This improves fluency.","- ""Said"" is replaced with ""promoted"" as it better reflects that the advertisement was promoting the perfect evening rather than just stating it. ""For"" is added after ""wished"" to make the sentence clearer. ""For the wasted"" is changed to ""and a waste of"" to make the sentence more concise and natural sounding.",explanation_2,explanation_1,4,1,"[94, 95, 199, 95]","[21, 20, 39, 23]",[306],[66],483,103,306,66,120.75,25.75,306.0,66.0,fce,"['R:OTHER', 'M:OTHER', 'R:OTHER', 'R:DET', 'R:MORPH', 'M:PREP']"
wiki_test_133,"In 2000 , an effort led by Omar Pérez Santiago ( a scholar of Chilean cartooning and a co-founder {of the=>} of the academic Chilean Center for Comics ) resulted in a sculpture of Condorito memorializing Rios being installed in the Chilean House of Culture in San Miguel .",1,"- This edit deletes an extra ""of the"" from the sentence.","- No revisions were made to this sentence. The original and revised sentences are identical. The aligned sentence only shows a minor formatting change, where ""of the"" was moved to the next line for readability.",explanation_2,explanation_1,1,1,[54],[13],[208],[40],54,13,208,40,54.0,13.0,208.0,40.0,wiki,['U:OTHER']
wiki_dev_231,"Miss Hannigan {and=>,} her crooked brother Rooster ( Alan Cumming ) {=>,} and his sleazy girlfriend {=>,} Lily St . Regis ( Kristin Chenoweth ) scheme to get the $ 50,000 reward by having Rooster and Lily pose as Annie 's parents .",3,"- ""and"" was replaced with a comma because ""and"" is not grammatical in that part of the list.
- A comma was added after (Alan Cumming) because a comma comes before the conjunction in the last item in a list.","- A comma was added before ""and"" to correctly separate the three items in the list.",explanation_2,explanation_1,2,1,"[90, 111]","[22, 24]",[81],[18],201,46,81,18,100.5,23.0,81.0,18.0,wiki,"['R:OTHER', 'M:PUNCT', 'M:PUNCT']"
fce_test_820,I received your letter last {monday=>Monday} .,1,"- ""monday"" was changed to ""Monday"" because, in English, days of the week are capitalized.",- The day of the week should be capitalized.,explanation_1,explanation_2,1,1,[87],[21],[42],[9],87,21,42,9,87.0,21.0,42.0,9.0,fce,['R:ORTH']
wiki_test_220,"The Operation was seen as a futile attempt to capture a non-strategic piece of land further antagonizing relations with {neighbooring=>neighboring} Pakistan {though=>; however,} many nationalistic Indians refer to it as a "" daring "" success by the Indian {Military=>military} at the time and ensured that the Indian military held its tactical high ground on the Saltoro Ridge just west of the glacier , albeit at a high cost .",3,"- A spelling error was corrected. The correct spelling is ""neighboring.""
- The adverb ""though"" was replaced with the word ""however"" because this lexical choice is a more suitable equivalent.
- The word ""military"" was changed to lowercase because common nouns are not capitalized in English.","- Changing ""neighbooring"" to ""neighboring"" corrects the spelling error.
- Replacing ""though"" with "";"" and adding ""however"" creates a better transition between the contrasting statements in the sentence.
- Lowercasing ""military"" after ""Indian"" is a grammatical correction.",explanation_1,explanation_2,3,3,"[70, 115, 97]","[14, 23, 18]","[69, 128, 66]","[13, 25, 13]",282,55,263,51,94.0,18.33333333333333,87.66666666666667,17.0,wiki,"['R:SPELL', 'M:PUNCT', 'R:OTHER', 'R:ORTH']"
wiki_test_225,"It is scheduled to be held in St . Louis , MO {=>,} on June 6 , 2009 {=>,} and will be shown live on Showtime .",2,"- A comma is required after listing the city and state of the event.
- A comma is required after a full date when the sentence continues.","- Commas were inserted to separate the city and state, and the date.
- Another comma was inserted to mark the end of the introductory phrase.",explanation_1,explanation_2,2,2,"[66, 66]","[14, 13]","[66, 70]","[14, 13]",132,27,136,27,66.0,13.5,68.0,13.5,wiki,"['M:PUNCT', 'M:PUNCT']"
fce_test_636,"I am writing to express my {dissapointment about=>disappointment with} the play "" {over=>Over} the {rainbow=>Rainbow ,} "" which is performing at Circle Theatre .",3,"- Spelling of ""disappointment"" corrected.
- ""with"" is the correct preposition to use here.
- Proper capitalization added to title ""Over the Rainbow.""","- ""Dissapointment"" was corrected to ""disappointment"" to fix a spelling error.
- ""About"" was changed to ""with"" to more accurately convey the writer's feelings towards the play.
- ""Over"" was capitalized to match the official title of the play.
- ""Rainbow"" was capitalized and a comma was added after it to properly punctuate the title of the play.",explanation_1,explanation_2,3,4,"[39, 46, 56]","[7, 11, 11]","[75, 95, 63, 101]","[15, 21, 14, 21]",141,29,334,71,47.0,9.666666666666666,83.5,17.75,fce,"['R:SPELL', 'R:PREP', 'R:ORTH', 'R:ORTH', 'M:PUNCT']"
wiki_test_527,"Also {=>,} it searches {through out=>throughout} wall updates which are set to be visible for users {,=>} who are not logged in to Facebook .",3,"- A comma was added after the sentence adverb to separate it from the rest of the sentence.
- ""throughout"" is a closed compound adverb. A space is not required between the two words.
- A comma was added before ""who"" to separate the nonrestrictive clause from the rest of the sentence.","- A comma was added after ""Also"" to separate it from the rest of the sentence and improve fluency.
- ""Through out"" was corrected to ""throughout"" for grammatical accuracy.
- The comma after ""users"" was removed to adhere to the rules of English grammar and certain style guides.",explanation_2,explanation_1,3,3,"[89, 88, 99]","[18, 19, 20]","[96, 69, 103]","[21, 14, 21]",276,57,268,56,92.0,19.0,89.33333333333333,18.666666666666668,wiki,"['M:PUNCT', 'R:ORTH', 'U:PUNCT']"
fce_test_644,"{Specially ,=>} I {=>especially} like {water=>watercolor} painting .",3,"- The deletion of ""specially"" and insertion of ""especially"" after I provide more fluency and clarity in this sentence.
- ""Water"" was changed to ""watercolor"" since this is the appropriate term for a specific style of painting.","- ""Specially"" is not commonly used in this context, so ""especially"" is a more appropriate adverb.
- ""Water"" is changed to ""watercolor"" to specify the type of painting.",explanation_2,explanation_1,2,2,"[116, 104]","[23, 22]","[95, 67]","[21, 16]",220,45,162,37,110.0,22.5,81.0,18.5,fce,"['U:OTHER', 'M:ADV', 'R:NOUN']"
fce_dev_840,"Here in Brazil {=>,} the rules at school {depends=>depend} on the school .",2,"- A comma was added after the introductory phrase to increase the clarity of the sentence.
- ""depends"" was changed in order to ensure the proper subject-verb agreement with ""the rules.""","- A comma is needed to separate the introductory phrase ""Here in Brazil"" from the main clause.
- ""Depends"" is changed to ""depend"" to match the singular subject ""rules.""",explanation_1,explanation_2,2,2,"[88, 92]","[16, 21]","[92, 71]","[19, 18]",180,37,163,37,90.0,18.5,81.5,18.5,fce,"['M:PUNCT', 'R:VERB:SVA']"
fce_test_652,"It is {=>a} good start to go {on=>} sightseeing by bus on Monday morning {, we=>. We} can {se=>see} all {=>the} famous buildings in a few hours .",5,"- The indefinite article ""a""  was inserted because it is needed to modify the noun phrase ""good start.""
- The preposition ""on"" was deleted because the infinitive form of the verb ""to go"" is usually followed by an object.
- The comma was removed and a period added because the two independent clauses cannot be combined with just a comma. The period separates the two independent clauses.
- The second sentence begins with the pronoun ""We"" which was capitalized.
- The definite article ""the"" was inserted before ""famous buildings"" because it is referring to specific buildings.","- 'Start' needs the article 'a' to make it a complete noun phrase.
- 'On' is unnecessary and can be removed for simpler phrasing.
- 'We' is a new sentence and needs to be separated from the previous clause with a period.
- 'Se' is a misspelling of 'see' and needs to be corrected.
- 'The' is needed before 'famous buildings' to indicate that there are specific buildings that are being referred to.",explanation_1,explanation_2,5,5,"[101, 114, 164, 71, 112]","[23, 25, 30, 14, 21]","[64, 60, 88, 57, 115]","[17, 13, 20, 16, 23]",562,113,384,89,112.4,22.6,76.8,17.8,fce,"['M:DET', 'U:PREP', 'R:PUNCT', 'R:SPELL', 'M:DET']"
fce_dev_408,"I think that my parents let me do what I want {,=>} because they trust me .",1,"- Unnecessary comma removed after ""want.""",- The comma was removed because it is unnecessary and disrupts the flow of the sentence.,explanation_2,explanation_1,1,1,[39],[8],[86],[16],39,8,86,16,39.0,8.0,86.0,16.0,fce,['U:PUNCT']
wiki_test_772,"This was beaten off , again with help from the {jedi=>Jedi} , and the Ssi-Ruuk have not been heard from since .",1,"- The word ""Jedi"" was capitalized because it is a proper noun.",- 'Jedi' is a proper noun and should be capitalized.,explanation_1,explanation_2,1,1,[60],[14],[50],[12],60,14,50,12,60.0,14.0,50.0,12.0,wiki,['R:ORTH']
wiki_test_132,The need to borrow money to satisfy the military demands during the Thirty Years ' War resulted in an {indebtedment=>indebtment} that many German communities got rid of only in the 18th century .,1,"- The misspelled word ""indebtedment"" was corrected to ""indebtment.""","- ""Indebtedment"" was changed to ""indebtment"" as the latter is the more commonly used spelling.",explanation_2,explanation_1,1,1,[65],[13],[92],[19],65,13,92,19,65.0,13.0,92.0,19.0,wiki,['R:SPELL']
wiki_dev_425,"Hi , you recently blocked this IP address for {vandalism .=>vandalism.}",1,- The space before the sentence-final period was removed to adhere to English grammar rules.,"- The only change made was the removal of a space before the period, which was a typographical error.",explanation_1,explanation_2,1,1,[90],[17],[99],[20],90,17,99,20,90.0,17.0,99.0,20.0,wiki,['R:ORTH']
fce_dev_127,"Unfortunately {=>,} it 's not possible unless you can rest in the morning .",1,"- A comma was added after ""Unfortunately"" because it functions as an introductory adverb, and the comma separates it from the main clause.",- A comma is inserted to mark the introductory adverbial phrase.,explanation_2,explanation_1,1,1,[136],[26],[62],[11],136,26,62,11,136.0,26.0,62.0,11.0,fce,['M:PUNCT']
wiki_test_944,"The {=>websites of the} two licensed stores selling them within the United Kingdom , Premier Farnell and RS Components , {had their websites=>} immediately stalled {by=>due to} web traffic immediately after the announcement .",3,"- This stylistic edit makes the sentence active voice, which is often preferable.
- This stylistic edit fits ""web traffic"" better because ""web traffic"" isn't an agent.","- ""The two licensed stores selling them within the United Kingdom"" is more smoothly integrated into the sentence by placing ""websites"" at the beginning.
- The passive voice ""had their websites immediately stalled"" is changed to the active voice ""immediately stalled"" to improve clarity and concision.
- ""By"" is changed to ""due to"" to better express the cause of the website stall.",explanation_2,explanation_1,2,3,"[79, 83]","[14, 19]","[150, 145, 77]","[28, 26, 20]",162,33,372,74,81.0,16.5,124.0,24.666666666666668,wiki,"['M:OTHER', 'U:OTHER', 'R:PREP']"
wiki_dev_159,"This marriage made {Alexander=>Alexander's} position as heir to the throne less secure {as=>since ,} if Cleopatra Eurydice fathered a son by Philip , the son would be full Macedonian {=>,} while Alexander was only {half Macedonian=>half-Macedonian} .",4,"- Added an ""'s"" to ""Alexander"" to indicate possession.
- Added a comma before coordinating conjunction.
- Hyphenated ""half Macedonian"" in accordance with Standard English punctuation rules.","- ""Alexander"" was changed to ""Alexander's"" to show possession.
- ""As"" was changed to ""since"" to indicate cause and effect more clearly.
- A comma was added after ""full Macedonian"" to separate two independent clauses.
- ""Half Macedonian"" was changed to ""half-Macedonian"" for consistency and clarity.",explanation_2,explanation_1,3,4,"[52, 46, 83]","[13, 7, 13]","[60, 70, 78, 79]","[14, 17, 15, 17]",181,33,287,63,60.333333333333336,11.0,71.75,15.75,wiki,"['R:NOUN', 'R:PREP', 'M:PUNCT', 'M:PUNCT', 'R:OTHER']"
wiki_test_371,The album is most likely to {be certified=>go} Gold in the first week .,1,"- ""be certified"" replaced with ""go"" for conciseness.","- Removing ""be certified"" makes the sentence more concise and natural sounding.",explanation_2,explanation_1,1,1,[50],[12],[77],[14],50,12,77,14,50.0,12.0,77.0,14.0,wiki,['R:VERB']
fce_test_575,"Because the London Fashion {programme=>program} takes place on Tuesday , I would suggest {to=>you} change your plan .",2,"- ""Programme"" is substituted for ""program"" to follow American English spelling conventions.
- The preposition, ""to,"" is replaced with the pronoun, ""you,"" because it improves clarity of who the speaker is suggesting to.","- ""program"" was used instead of ""programme"" for American English consistency.
- ""to"" is unnecessary and removed for clarity and conciseness.",explanation_1,explanation_2,2,2,"[89, 124]","[16, 29]","[75, 60]","[15, 12]",213,45,135,27,106.5,22.5,67.5,13.5,fce,"['R:MORPH', 'R:OTHER']"
fce_dev_833,"I think {,=>} you should make some next year .",1,"- The comma after ""I think"" was deleted because this phrase is part of the main clause. It is not extra information; instead, it is necessary to complete the meaning of the main clause.",- The comma after 'think' is unnecessary and disrupts the flow of the sentence.,explanation_2,explanation_1,1,1,[183],[39],[77],[16],183,39,77,16,183.0,39.0,77.0,16.0,fce,['U:PUNCT']
fce_test_144,"I am writing from Paris {=>,} where I live .",1,"- A comma was added after ""Paris"" to mark the separation between the main thought and a phrase that clarifies it.",- A comma is added to separate the introductory phrase from the main clause.,explanation_1,explanation_2,1,1,[111],[23],[74],[14],111,23,74,14,111.0,23.0,74.0,14.0,fce,['M:PUNCT']
wiki_dev_429,"The sixth event occurred between 360 and 260 Ma and was identified by models suggesting shifts in the balance of S ^ 34 in sulphates and C ^ 13 in carbonates , which were strongly influenced by an increase in atmospheric oxygen {.=>}",1,- The period at the end of the sentence was deleted. This revision is incorrect because a period is needed to signal the end of the sentence.,- The edit removed the unnecessary period at the end of the sentence.,explanation_2,explanation_1,1,1,[139],[28],[67],[13],139,28,67,13,139.0,28.0,67.0,13.0,wiki,['U:PUNCT']
wiki_dev_637,"{just=>Just} before he killed him , Foster told Popov that he 'd discovered gold on his Montana property {=>,} but it {had n't meant=>didn't mean} anything to him in view of the future he was embarking on .",3,"- 'Just' was capitalized because it is the first word of a sentence.
- A comma was inserted to divide clauses in a sentence
- 'Hadn't meant' replaced with past tense form 'didn't mean' for clarity and fluency.","- A comma is added because the second clause is an independent clause, and it is necessary to separate it from the first clause.
- 'Hadn't meant' is changed to 'didn't mean' to match the tense of the rest of the sentence.",explanation_2,explanation_1,3,2,"[66, 52, 83]","[15, 10, 20]","[126, 90]","[25, 24]",201,45,216,49,67.0,15.0,108.0,24.5,wiki,"['R:ORTH', 'M:PUNCT', 'R:OTHER', 'R:VERB:FORM']"
fce_test_702,"I went to the "" International Arts Festival "" on {=>November} 21-22 {November=>} .",2,- This edit puts the month in front of the day because that is the convention in American English.,"- The month and day were switched to match the standard format used in the United States.
- The word ""November"" was added before the date for clarity and to make the sentence more fluent.",explanation_2,explanation_1,1,2,[96],[19],"[87, 95]","[17, 20]",96,19,182,37,96.0,19.0,91.0,18.5,fce,['R:WO']
fce_test_44,"The most important thing in the future will be knowing how to deal with machines , so , today 's children must be introduced to computers {since=>from} an early age , so that they could have a chance to compete with the furious {emearrence=>emergence} in the future .",2,"- The word ""since"" was replaced with ""from."" ""Since"" typically refers to time that has passed while ""from"" refers to the moment something began. In this case, the word ""from"" is more clear and natural.
- The word ""emergence"" was corrected for spelling.","- 'Since' implies a cause-effect relationship, but 'from' implies a starting point.
- 'Emearrence' is not a word. 'Emergence' is the correct spelling.",explanation_2,explanation_1,2,2,"[199, 48]","[48, 10]","[81, 64]","[19, 16]",247,58,145,35,123.5,29.0,72.5,17.5,fce,"['R:PREP', 'R:SPELL']"
wiki_dev_721,"Helena is a noble example of womanhood , and , in the comic part of the play , Hazlitt is especially amused by the character of Parolles , the "" parasite and {hanger on=>hanger-on} of Bertram 's whose "" folly , boasting , and cowardice {[=>} ... and false {pretentions=>pretensions} to bravery and honour "" are unmasked in "" a very amusing episode {.=>.""}",4,"- This edit hyphenates the noun 'hanger-on.'
- This edit deletes a lone bracket.
- This edit is incorrect because it changes quoted material.
- This edit adds missing quotation marks.","- ""Hanger on"" was changed to ""hanger-on"" as it is a compound noun.
- A bracket that was not needed was removed.
- ""Pretentions"" was changed to ""pretensions"" as it is the correct spelling.
- A period that was not needed was removed and replaced with a quotation mark to properly end the quote.",explanation_2,explanation_1,4,4,"[42, 33, 58, 39]","[11, 7, 10, 7]","[64, 42, 73, 102]","[19, 9, 16, 20]",172,35,281,64,43.0,8.75,70.25,16.0,wiki,"['R:OTHER', 'U:PUNCT', 'R:SPELL', 'R:PUNCT']"
wiki_dev_209,{previous Popes=>Previous popes} had avoided using this name since the time of the Antipope John XXIII during the Western Schism .,1,- This edit corrects two different capitalization errors. 'Previous' should be capitalized because it is at the beginning of the sentence. 'Popes' should not be capitalized because it is a common noun.,- 'Popes' should be written in lowercase here as it is not the start of a sentence.,explanation_2,explanation_1,1,1,[199],[38],[81],[19],199,38,81,19,199.0,38.0,81.0,19.0,wiki,['R:ORTH']
fce_test_657,"I do n't like {tinking ,=>thinking about} my house {of=>, or} my life , without all {this=>these} facilities . In winter {=>,} when {is=>it gets} dark very early , {and after ,=>} I {need=>have} to {spent=>spend} my free time {in home=>inside} .",9,"- A spelling error was corrected. The correct spelling is ""thinking.""
- The preposition ""about"" was added because it is the correct collocation with ""thinking.""
- The preposition ""of"" was removed because it appears to be a spelling error. The correct word ""or"" is added.
- A comma was added before ""or"" but this is an incorrect revision because ""or"" combines two noun phrases here, not two independent clauses.
- The singular determiner ""this"" is replaced with the plural form ""these"" because the noun is in the plural form.
- A comma is added after the introductory prepositional phrase, ""In winter,"" to separate it from the main clause.
- The ""is"" is replaced with ""it gets"" because the clause needs a subject and a correct verb to convey the meaning. So the verb ""is"" is replaced with the verb ""gets"" because this lexical choice is a more suitable equivalent.
- ""and after"" followed by a comma is deleted to improve sentence fluency and clarity.
- The verb ""need"" is replaced with the verb ""have"" because this lexical choice is a more suitable equivalent.
- The past tense verb tense ""spent"" is replaced with the present tense form ""spend"" to maintain the same verb tense throughout.
- The prepositional phrase ""in home"" is replaced with the preposition ""inside"" because this lexical choice is a more suitable equivalent.","- ""Tinking"" is corrected to ""thinking"" and ""of"" is replaced with a comma to separate the two ideas. ""This"" is changed to ""these"" for proper subject-verb agreement.
- ""Is"" is changed to ""it gets"" to make the sentence more descriptive and accurate. ""And after"" is removed because it is unnecessary. ""Need"" is changed to ""have"" for proper verb tense. ""Spent"" is changed to ""spend"" for proper verb tense. ""In home"" is changed to ""inside"" for more natural phrasing.",explanation_1,explanation_2,11,2,"[67, 88, 107, 137, 111, 111, 221, 83, 107, 125, 135]","[14, 18, 25, 29, 24, 23, 50, 17, 23, 26, 25]","[161, 294]","[40, 73]",1292,274,455,113,117.45454545454544,24.90909090909091,227.5,56.5,fce,"['R:SPELL', 'R:OTHER', 'M:PUNCT', 'R:SPELL', 'R:DET', 'M:PUNCT', 'R:OTHER', 'U:OTHER', 'R:VERB', 'R:VERB:FORM', 'R:OTHER']"
wiki_test_441,"{""=>} Seth and Kendra go swimming the next day , {=>and} Kendra {brings=>pulls} out a mirror to shine light in Seth 's eyes .",3,"- The opening quotes were removed because there are no closing quotes.
- ""and"" was added after "", day"" because two independent clauses are being conjoined meaning a conjunction is needed.
- ""brings"" was replaced with ""pulls"" because that is the correct collocation with ""out"" in this instance.","- The initial quotation mark is unnecessary and was removed.
- A coordinating conjunction was added to properly join the two independent clauses.
- 'Brings' was replaced with 'pulls' to better convey that Kendra intentionally brought out the mirror.",explanation_1,explanation_2,3,3,"[68, 114, 103]","[12, 23, 23]","[58, 82, 101]","[10, 13, 20]",285,58,241,43,95.0,19.33333333333333,80.33333333333333,14.333333333333334,wiki,"['U:PUNCT', 'M:CONJ', 'R:VERB']"
fce_test_754,I CAN NOT EXPRESS HOW {THANFUL=>THANKFUL} I AM FOR THIS BEAUTIFUL PRIZE .,1,- 'Thankful' is the correct spelling of 'thanful.',"- ""Thanful"" is a misspelling of ""thankful.""",explanation_1,explanation_2,1,1,[48],[12],[41],[11],48,12,41,11,48.0,12.0,41.0,11.0,fce,['R:SPELL']
fce_test_527,I am able to meet my friends quickly {in=>on the} Internet {=>by} just clicking the mouse .,2,"- The preposition phrase using ""in"" was changed to ""on the"" to match the common phrase ""on the Internet."" This conveys that the Internet is a proper noun.
- The word ""by"" was added to link ideas and to convey how the action was accomplished.","- 'In' was changed to 'on the' to accurately describe the location of meeting friends.
- 'By' was added to show the means by which the action is achieved.",explanation_2,explanation_1,2,2,"[152, 84]","[35, 19]","[84, 65]","[19, 16]",236,54,149,35,118.0,27.0,74.5,17.5,fce,"['R:PREP', 'M:DET', 'M:PREP']"
wiki_dev_304,"He moved to Syracuse , New York {=>,} at the age of 12 {were=>, where} he hooked up with a crew , Soul {pack=>Pack ,} and began rapping .",3,"- The comma is inserted because it is necessary after a city and state are given sequentially.
- The correct spelling is ""where,"" and the comma is necessary because what follows is a nonrestrictive clause.
- The proper noun should be capitalized, and the comma is added because the preceding is part of a nonrestrictive clause.","- Adding a comma after ""New York"" and changing ""were"" to ""where"" corrects the sentence structure and makes it clearer where he hooked up with the crew.
- Capitalizing ""Pack"" and adding a comma after it corrects the punctuation error and makes it clear that ""Soul Pack"" is a proper noun.",explanation_2,explanation_1,3,2,"[92, 108, 119]","[17, 21, 22]","[149, 132]","[33, 28]",319,60,281,61,106.33333333333331,20.0,140.5,30.5,wiki,"['M:PUNCT', 'M:PUNCT', 'R:SPELL', 'R:OTHER']"
fce_dev_339,"Finally , I would be grateful to you {,=>} if you told me about clothes and money .",1,"- The comma before ""if"" was removed because it is unnecessary when the if clause occurs at the end of the sentence.","-  The comma before ""if"" is unnecessary and can be removed for smoother flow.",explanation_1,explanation_2,1,1,[113],[24],[75],[17],113,24,75,17,113.0,24.0,75.0,17.0,fce,['U:PUNCT']
wiki_dev_228,"He managed to defeat Garuda Aiacos and then confronted Hades himself , {of whom=>who} had gained possession of his younger brother 's body .",1,"- ""Of whom"" is replace with ""who"" as ""Hades"" is the subject of the following clause instead of the object of a preposition.",- 'Of whom' is incorrect and awkward phrasing. 'Who' is the correct pronoun to refer to a person.,explanation_2,explanation_1,1,1,[121],[29],[95],[23],121,29,95,23,121.0,29.0,95.0,23.0,wiki,"['U:PREP', 'R:PRON']"
wiki_dev_251,"Australia defeated South Africa 4 - 0 {=>,} and senior players such as Bill O ' Reilly were pointed in their comments about the enjoyment of playing under Richardson 's captaincy .",1,- A comma is added here because two independent clauses are being joined with a coordinating conjunction.,"- A comma is added before the conjunction ""and"" to separate two independent clauses.",explanation_2,explanation_1,1,1,[103],[17],[82],[16],103,17,82,16,103.0,17.0,82.0,16.0,wiki,['M:PUNCT']
fce_dev_207,"There seems to be a general opinion that sports , art {=>,} and music activities such as tennis , football , orchestra , painting , {=>and} photography should be included .",2,"- A comma was inserted between 'art' and 'and' to add more clarity to a list of items.
- ""And"" was inserted before ""photography"" to indicate it is the last item in the list.","- A comma was inserted after ""art"" to separate it from ""music activities"" and adhere to punctuation rules.
- ""And"" was inserted before ""photography"" to create a parallel structure with the other activities listed.",explanation_1,explanation_2,2,2,"[84, 84]","[22, 20]","[104, 104]","[22, 20]",168,42,208,42,84.0,21.0,104.0,21.0,fce,"['M:PUNCT', 'M:CONJ']"
