id,errant_original_start,errant_original_end,errant_original_string,errant_revised_start,errant_revised_end,errant_revised_string,errant_error_type,algorithm_n_revisions,original,revised,algorithm_aligned
wiki_dev_351,13,14,on,13,14,in,R:PREP,4,Their public and private life was carefully orchestrated and they always appeared perfect on any situations and seemed to enjoy the upper class living style that most Japanese can only dream about .,Their public and private life was carefully orchestrated . They always appeared perfect in any situation and seemed to enjoy the upper class lifestyle that most Japanese can only dream about .,Their public and private life was carefully orchestrated {and they=>. They} always appeared perfect {on=>in} any {situations=>situation} and seemed to enjoy the upper class {living style=>lifestyle} that most Japanese can only dream about .
wiki_dev_351,15,16,situations,15,16,situation,R:NOUN:NUM,4,Their public and private life was carefully orchestrated and they always appeared perfect on any situations and seemed to enjoy the upper class living style that most Japanese can only dream about .,Their public and private life was carefully orchestrated . They always appeared perfect in any situation and seemed to enjoy the upper class lifestyle that most Japanese can only dream about .,Their public and private life was carefully orchestrated {and they=>. They} always appeared perfect {on=>in} any {situations=>situation} and seemed to enjoy the upper class {living style=>lifestyle} that most Japanese can only dream about .
wiki_dev_351,23,25,living style,23,24,lifestyle,R:NOUN,4,Their public and private life was carefully orchestrated and they always appeared perfect on any situations and seemed to enjoy the upper class living style that most Japanese can only dream about .,Their public and private life was carefully orchestrated . They always appeared perfect in any situation and seemed to enjoy the upper class lifestyle that most Japanese can only dream about .,Their public and private life was carefully orchestrated {and they=>. They} always appeared perfect {on=>in} any {situations=>situation} and seemed to enjoy the upper class {living style=>lifestyle} that most Japanese can only dream about .
fce_dev_739,1,2,started,1,2,starts,R:VERB:TENSE,11,"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It starts when we get up in the morning : we have machines that help us to cook , iron , clean , wash , and then when we go to work , there are cars and sky trains to help us travel conveniently and quickly .","It {started from got=>starts when we get} up in the morning {,=>:} we have {the machine=>machines that} help us to cook , iron , {cleanning=>clean} , {washing=>wash} , and then {=>when} we {went out=>go} to work , there are {car ,=>cars and} sky {train=>trains} to {travel for=>} help us {convenience=>travel conveniently} and quickly ."
fce_dev_739,2,3,from,2,4,when we,R:OTHER,11,"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It starts when we get up in the morning : we have machines that help us to cook , iron , clean , wash , and then when we go to work , there are cars and sky trains to help us travel conveniently and quickly .","It {started from got=>starts when we get} up in the morning {,=>:} we have {the machine=>machines that} help us to cook , iron , {cleanning=>clean} , {washing=>wash} , and then {=>when} we {went out=>go} to work , there are {car ,=>cars and} sky {train=>trains} to {travel for=>} help us {convenience=>travel conveniently} and quickly ."
fce_dev_739,3,4,got,4,5,get,R:VERB:TENSE,11,"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It starts when we get up in the morning : we have machines that help us to cook , iron , clean , wash , and then when we go to work , there are cars and sky trains to help us travel conveniently and quickly .","It {started from got=>starts when we get} up in the morning {,=>:} we have {the machine=>machines that} help us to cook , iron , {cleanning=>clean} , {washing=>wash} , and then {=>when} we {went out=>go} to work , there are {car ,=>cars and} sky {train=>trains} to {travel for=>} help us {convenience=>travel conveniently} and quickly ."
fce_dev_739,8,9,",",9,10,:,R:PUNCT,11,"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It starts when we get up in the morning : we have machines that help us to cook , iron , clean , wash , and then when we go to work , there are cars and sky trains to help us travel conveniently and quickly .","It {started from got=>starts when we get} up in the morning {,=>:} we have {the machine=>machines that} help us to cook , iron , {cleanning=>clean} , {washing=>wash} , and then {=>when} we {went out=>go} to work , there are {car ,=>cars and} sky {train=>trains} to {travel for=>} help us {convenience=>travel conveniently} and quickly ."
fce_dev_739,11,12,the,12,12,,U:DET,11,"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It starts when we get up in the morning : we have machines that help us to cook , iron , clean , wash , and then when we go to work , there are cars and sky trains to help us travel conveniently and quickly .","It {started from got=>starts when we get} up in the morning {,=>:} we have {the machine=>machines that} help us to cook , iron , {cleanning=>clean} , {washing=>wash} , and then {=>when} we {went out=>go} to work , there are {car ,=>cars and} sky {train=>trains} to {travel for=>} help us {convenience=>travel conveniently} and quickly ."
fce_dev_739,12,13,machine,12,13,machines,R:NOUN:NUM,11,"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It starts when we get up in the morning : we have machines that help us to cook , iron , clean , wash , and then when we go to work , there are cars and sky trains to help us travel conveniently and quickly .","It {started from got=>starts when we get} up in the morning {,=>:} we have {the machine=>machines that} help us to cook , iron , {cleanning=>clean} , {washing=>wash} , and then {=>when} we {went out=>go} to work , there are {car ,=>cars and} sky {train=>trains} to {travel for=>} help us {convenience=>travel conveniently} and quickly ."
fce_dev_739,13,13,,13,14,that,M:DET,11,"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It starts when we get up in the morning : we have machines that help us to cook , iron , clean , wash , and then when we go to work , there are cars and sky trains to help us travel conveniently and quickly .","It {started from got=>starts when we get} up in the morning {,=>:} we have {the machine=>machines that} help us to cook , iron , {cleanning=>clean} , {washing=>wash} , and then {=>when} we {went out=>go} to work , there are {car ,=>cars and} sky {train=>trains} to {travel for=>} help us {convenience=>travel conveniently} and quickly ."
fce_dev_739,20,21,cleanning,21,22,clean,R:SPELL,11,"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It starts when we get up in the morning : we have machines that help us to cook , iron , clean , wash , and then when we go to work , there are cars and sky trains to help us travel conveniently and quickly .","It {started from got=>starts when we get} up in the morning {,=>:} we have {the machine=>machines that} help us to cook , iron , {cleanning=>clean} , {washing=>wash} , and then {=>when} we {went out=>go} to work , there are {car ,=>cars and} sky {train=>trains} to {travel for=>} help us {convenience=>travel conveniently} and quickly ."
fce_dev_739,22,23,washing,23,24,wash,R:MORPH,11,"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It starts when we get up in the morning : we have machines that help us to cook , iron , clean , wash , and then when we go to work , there are cars and sky trains to help us travel conveniently and quickly .","It {started from got=>starts when we get} up in the morning {,=>:} we have {the machine=>machines that} help us to cook , iron , {cleanning=>clean} , {washing=>wash} , and then {=>when} we {went out=>go} to work , there are {car ,=>cars and} sky {train=>trains} to {travel for=>} help us {convenience=>travel conveniently} and quickly ."
fce_dev_739,26,26,,27,28,when,M:ADV,11,"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It starts when we get up in the morning : we have machines that help us to cook , iron , clean , wash , and then when we go to work , there are cars and sky trains to help us travel conveniently and quickly .","It {started from got=>starts when we get} up in the morning {,=>:} we have {the machine=>machines that} help us to cook , iron , {cleanning=>clean} , {washing=>wash} , and then {=>when} we {went out=>go} to work , there are {car ,=>cars and} sky {train=>trains} to {travel for=>} help us {convenience=>travel conveniently} and quickly ."
fce_dev_739,27,29,went out,29,30,go,R:VERB,11,"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It starts when we get up in the morning : we have machines that help us to cook , iron , clean , wash , and then when we go to work , there are cars and sky trains to help us travel conveniently and quickly .","It {started from got=>starts when we get} up in the morning {,=>:} we have {the machine=>machines that} help us to cook , iron , {cleanning=>clean} , {washing=>wash} , and then {=>when} we {went out=>go} to work , there are {car ,=>cars and} sky {train=>trains} to {travel for=>} help us {convenience=>travel conveniently} and quickly ."
fce_dev_739,34,35,car,35,36,cars,R:NOUN:NUM,11,"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It starts when we get up in the morning : we have machines that help us to cook , iron , clean , wash , and then when we go to work , there are cars and sky trains to help us travel conveniently and quickly .","It {started from got=>starts when we get} up in the morning {,=>:} we have {the machine=>machines that} help us to cook , iron , {cleanning=>clean} , {washing=>wash} , and then {=>when} we {went out=>go} to work , there are {car ,=>cars and} sky {train=>trains} to {travel for=>} help us {convenience=>travel conveniently} and quickly ."
fce_dev_739,35,36,",",36,37,and,R:OTHER,11,"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It starts when we get up in the morning : we have machines that help us to cook , iron , clean , wash , and then when we go to work , there are cars and sky trains to help us travel conveniently and quickly .","It {started from got=>starts when we get} up in the morning {,=>:} we have {the machine=>machines that} help us to cook , iron , {cleanning=>clean} , {washing=>wash} , and then {=>when} we {went out=>go} to work , there are {car ,=>cars and} sky {train=>trains} to {travel for=>} help us {convenience=>travel conveniently} and quickly ."
fce_dev_739,37,38,train,38,39,trains,R:NOUN:NUM,11,"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It starts when we get up in the morning : we have machines that help us to cook , iron , clean , wash , and then when we go to work , there are cars and sky trains to help us travel conveniently and quickly .","It {started from got=>starts when we get} up in the morning {,=>:} we have {the machine=>machines that} help us to cook , iron , {cleanning=>clean} , {washing=>wash} , and then {=>when} we {went out=>go} to work , there are {car ,=>cars and} sky {train=>trains} to {travel for=>} help us {convenience=>travel conveniently} and quickly ."
fce_dev_739,39,41,travel for,40,40,,U:OTHER,11,"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It starts when we get up in the morning : we have machines that help us to cook , iron , clean , wash , and then when we go to work , there are cars and sky trains to help us travel conveniently and quickly .","It {started from got=>starts when we get} up in the morning {,=>:} we have {the machine=>machines that} help us to cook , iron , {cleanning=>clean} , {washing=>wash} , and then {=>when} we {went out=>go} to work , there are {car ,=>cars and} sky {train=>trains} to {travel for=>} help us {convenience=>travel conveniently} and quickly ."
fce_dev_739,43,43,,42,43,travel,M:VERB,11,"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It starts when we get up in the morning : we have machines that help us to cook , iron , clean , wash , and then when we go to work , there are cars and sky trains to help us travel conveniently and quickly .","It {started from got=>starts when we get} up in the morning {,=>:} we have {the machine=>machines that} help us to cook , iron , {cleanning=>clean} , {washing=>wash} , and then {=>when} we {went out=>go} to work , there are {car ,=>cars and} sky {train=>trains} to {travel for=>} help us {convenience=>travel conveniently} and quickly ."
fce_dev_739,43,44,convenience,43,44,conveniently,R:MORPH,11,"It started from got up in the morning , we have the machine help us to cook , iron , cleanning , washing , and then we went out to work , there are car , sky train to travel for help us convenience and quickly .","It starts when we get up in the morning : we have machines that help us to cook , iron , clean , wash , and then when we go to work , there are cars and sky trains to help us travel conveniently and quickly .","It {started from got=>starts when we get} up in the morning {,=>:} we have {the machine=>machines that} help us to cook , iron , {cleanning=>clean} , {washing=>wash} , and then {=>when} we {went out=>go} to work , there are {car ,=>cars and} sky {train=>trains} to {travel for=>} help us {convenience=>travel conveniently} and quickly ."
wiki_dev_538,12,13,over-lapping,12,13,overlapping,R:VERB,1,"The mezzo-soprano voice lies between the soprano voice and contralto voice , over-lapping both of them .","The mezzo-soprano voice lies between the soprano voice and contralto voice , overlapping both of them .","The mezzo-soprano voice lies between the soprano voice and contralto voice , {over-lapping=>overlapping} both of them ."
wiki_test_236,17,18,",",17,18,.,R:PUNCT,2,"All forms of corporal punishment were banned in all schools in the UK in the early 1990s , and it has also been banned in schools worldwide , with the exception of 23 states in the USA ( where the paddle is used , not the slipper ) .","All forms of corporal punishment were banned in all schools in the UK in the early 1990s . It has been banned in schools worldwide , with the exception of 23 states in the USA ( where the paddle is used , not the slipper ) .","All forms of corporal punishment were banned in all schools in the UK in the early 1990s {, and it=>. It} has {also=>} been banned in schools worldwide , with the exception of 23 states in the USA ( where the paddle is used , not the slipper ) ."
wiki_test_236,18,20,and it,18,19,It,U:CONJ,2,"All forms of corporal punishment were banned in all schools in the UK in the early 1990s , and it has also been banned in schools worldwide , with the exception of 23 states in the USA ( where the paddle is used , not the slipper ) .","All forms of corporal punishment were banned in all schools in the UK in the early 1990s . It has been banned in schools worldwide , with the exception of 23 states in the USA ( where the paddle is used , not the slipper ) .","All forms of corporal punishment were banned in all schools in the UK in the early 1990s {, and it=>. It} has {also=>} been banned in schools worldwide , with the exception of 23 states in the USA ( where the paddle is used , not the slipper ) ."
wiki_test_236,21,22,also,20,20,,U:ADV,2,"All forms of corporal punishment were banned in all schools in the UK in the early 1990s , and it has also been banned in schools worldwide , with the exception of 23 states in the USA ( where the paddle is used , not the slipper ) .","All forms of corporal punishment were banned in all schools in the UK in the early 1990s . It has been banned in schools worldwide , with the exception of 23 states in the USA ( where the paddle is used , not the slipper ) .","All forms of corporal punishment were banned in all schools in the UK in the early 1990s {, and it=>. It} has {also=>} been banned in schools worldwide , with the exception of 23 states in the USA ( where the paddle is used , not the slipper ) ."
fce_dev_278,2,3,choosen,2,3,chosen,R:SPELL,2,I have choosen golf because I have never played in this game .,I have chosen golf because I have never played this game .,I have {choosen=>chosen} golf because I have never played {in=>} this game .
fce_dev_278,9,10,in,9,9,,U:PREP,2,I have choosen golf because I have never played in this game .,I have chosen golf because I have never played this game .,I have {choosen=>chosen} golf because I have never played {in=>} this game .
fce_test_246,1,1,,1,2,did,M:VERB:TENSE,3,I have n't got my mobile phone with me And I was half way between my school and home .,I did n't have my mobile phone with me and I was half way between my school and home .,I {=>did n't} have {n't got=>} my mobile phone with me {And=>and} I was half way between my school and home .
fce_test_246,1,3,have n't,2,4,n't have,R:WO,3,I have n't got my mobile phone with me And I was half way between my school and home .,I did n't have my mobile phone with me and I was half way between my school and home .,I {=>did n't} have {n't got=>} my mobile phone with me {And=>and} I was half way between my school and home .
fce_test_246,3,4,got,4,4,,U:VERB,3,I have n't got my mobile phone with me And I was half way between my school and home .,I did n't have my mobile phone with me and I was half way between my school and home .,I {=>did n't} have {n't got=>} my mobile phone with me {And=>and} I was half way between my school and home .
fce_test_246,9,10,And,9,10,and,R:ORTH,3,I have n't got my mobile phone with me And I was half way between my school and home .,I did n't have my mobile phone with me and I was half way between my school and home .,I {=>did n't} have {n't got=>} my mobile phone with me {And=>and} I was half way between my school and home .
fce_dev_724,2,4,the most,2,3,our,R:OTHER,2,Singing is the most favarite hobby for us .,Singing is our favorite hobby .,Singing is {the most favarite=>our favorite} hobby {for us=>} .
fce_dev_724,4,5,favarite,3,4,favorite,R:SPELL,2,Singing is the most favarite hobby for us .,Singing is our favorite hobby .,Singing is {the most favarite=>our favorite} hobby {for us=>} .
fce_dev_724,6,8,for us,5,5,,U:OTHER,2,Singing is the most favarite hobby for us .,Singing is our favorite hobby .,Singing is {the most favarite=>our favorite} hobby {for us=>} .
wiki_test_348,6,7,bog,6,7,box,R:NOUN,1,"Most of these objects within the bog were found to be carefully arranged rather than being haphazardly deposited , pointing to a sacred sacrificial intent .","Most of these objects within the box were found to be carefully arranged rather than being haphazardly deposited , pointing to a sacred sacrificial intent .","Most of these objects within the {bog=>box} were found to be carefully arranged rather than being haphazardly deposited , pointing to a sacred sacrificial intent ."
wiki_test_147,1,1,,1,2,",",M:PUNCT,3,"Traditionally the Dutch diet consisted of a frugal fashion , with such simple dishes as bread and herring .","Traditionally , the Dutch diet was frugal , consisting of such simple dishes as bread and herring .","Traditionally {=>,} the Dutch diet {consisted=>was frugal , consisting} of {a frugal fashion , with=>} such simple dishes as bread and herring ."
wiki_test_147,4,6,consisted of,5,5,,U:OTHER,3,"Traditionally the Dutch diet consisted of a frugal fashion , with such simple dishes as bread and herring .","Traditionally , the Dutch diet was frugal , consisting of such simple dishes as bread and herring .","Traditionally {=>,} the Dutch diet {consisted=>was frugal , consisting} of {a frugal fashion , with=>} such simple dishes as bread and herring ."
wiki_test_147,6,7,a,5,6,was,R:OTHER,3,"Traditionally the Dutch diet consisted of a frugal fashion , with such simple dishes as bread and herring .","Traditionally , the Dutch diet was frugal , consisting of such simple dishes as bread and herring .","Traditionally {=>,} the Dutch diet {consisted=>was frugal , consisting} of {a frugal fashion , with=>} such simple dishes as bread and herring ."
wiki_test_147,8,9,fashion,7,7,,U:NOUN,3,"Traditionally the Dutch diet consisted of a frugal fashion , with such simple dishes as bread and herring .","Traditionally , the Dutch diet was frugal , consisting of such simple dishes as bread and herring .","Traditionally {=>,} the Dutch diet {consisted=>was frugal , consisting} of {a frugal fashion , with=>} such simple dishes as bread and herring ."
wiki_test_147,10,11,with,8,10,consisting of,R:OTHER,3,"Traditionally the Dutch diet consisted of a frugal fashion , with such simple dishes as bread and herring .","Traditionally , the Dutch diet was frugal , consisting of such simple dishes as bread and herring .","Traditionally {=>,} the Dutch diet {consisted=>was frugal , consisting} of {a frugal fashion , with=>} such simple dishes as bread and herring ."
fce_dev_850,3,4,pleas,3,4,please,R:OTHER,1,"If not , pleas let me know .","If not , please let me know .","If not , {pleas=>please} let me know ."
fce_test_421,15,15,,15,17,out with,M:OTHER,1,You wanted to hear about my experience at the pop concert which I enjoyed helping last month ?,You wanted to hear about my experience at the pop concert which I enjoyed helping out with last month ?,You wanted to hear about my experience at the pop concert which I enjoyed helping {=>out with} last month ?
fce_dev_562,0,3,"Anyway , as",0,1,As,U:OTHER,2,"Anyway , as students we do n't have much money to spend on shopping and the good thing is that it wo n't affect your budget at all as the entrance fees are free for students .","As students we do n't have much money to spend on shopping anyway , and the good thing is that it wo n't affect your budget at all as the entrance fees are free for students .","{Anyway , as=>As} students we do n't have much money to spend on shopping {=>anyway ,} and the good thing is that it wo n't affect your budget at all as the entrance fees are free for students ."
fce_dev_562,14,14,,12,14,"anyway ,",M:OTHER,2,"Anyway , as students we do n't have much money to spend on shopping and the good thing is that it wo n't affect your budget at all as the entrance fees are free for students .","As students we do n't have much money to spend on shopping anyway , and the good thing is that it wo n't affect your budget at all as the entrance fees are free for students .","{Anyway , as=>As} students we do n't have much money to spend on shopping {=>anyway ,} and the good thing is that it wo n't affect your budget at all as the entrance fees are free for students ."
wiki_test_466,0,1,the,0,1,The,R:ORTH,3,"the top 40 song "" New York "" featuring Jadakiss and Fat Joe , and the song "" Caught Up "" featuring Lloyd .","The top 40 song "" New York , "" featuring Jadakiss and Fat Joe , and the song "" Caught Up , "" featuring Lloyd .","{the=>The} top 40 song "" New York {=>,} "" featuring Jadakiss and Fat Joe , and the song "" Caught Up {=>,} "" featuring Lloyd ."
wiki_test_466,7,7,,7,8,",",M:PUNCT,3,"the top 40 song "" New York "" featuring Jadakiss and Fat Joe , and the song "" Caught Up "" featuring Lloyd .","The top 40 song "" New York , "" featuring Jadakiss and Fat Joe , and the song "" Caught Up , "" featuring Lloyd .","{the=>The} top 40 song "" New York {=>,} "" featuring Jadakiss and Fat Joe , and the song "" Caught Up {=>,} "" featuring Lloyd ."
wiki_test_466,20,20,,21,22,",",M:PUNCT,3,"the top 40 song "" New York "" featuring Jadakiss and Fat Joe , and the song "" Caught Up "" featuring Lloyd .","The top 40 song "" New York , "" featuring Jadakiss and Fat Joe , and the song "" Caught Up , "" featuring Lloyd .","{the=>The} top 40 song "" New York {=>,} "" featuring Jadakiss and Fat Joe , and the song "" Caught Up {=>,} "" featuring Lloyd ."
wiki_dev_308,3,3,,3,4,",",M:PUNCT,4,"In the Riksdag the party frequently acted as a supporter to the four party liberal-conservative government lead by Carl Bildt , which unwillingly accepted its support .","In the Riksdag , the party frequently acted as a supporter to the four-party liberal-conservative government led by Carl Bildt , who unwillingly accepted its support .","In the Riksdag {=>,} the party frequently acted as a supporter to the {four party=>four-party} liberal-conservative government {lead=>led} by Carl Bildt , {which=>who} unwillingly accepted its support ."
wiki_dev_308,12,14,four party,13,14,four-party,R:OTHER,4,"In the Riksdag the party frequently acted as a supporter to the four party liberal-conservative government lead by Carl Bildt , which unwillingly accepted its support .","In the Riksdag , the party frequently acted as a supporter to the four-party liberal-conservative government led by Carl Bildt , who unwillingly accepted its support .","In the Riksdag {=>,} the party frequently acted as a supporter to the {four party=>four-party} liberal-conservative government {lead=>led} by Carl Bildt , {which=>who} unwillingly accepted its support ."
wiki_dev_308,16,17,lead,16,17,led,R:VERB:FORM,4,"In the Riksdag the party frequently acted as a supporter to the four party liberal-conservative government lead by Carl Bildt , which unwillingly accepted its support .","In the Riksdag , the party frequently acted as a supporter to the four-party liberal-conservative government led by Carl Bildt , who unwillingly accepted its support .","In the Riksdag {=>,} the party frequently acted as a supporter to the {four party=>four-party} liberal-conservative government {lead=>led} by Carl Bildt , {which=>who} unwillingly accepted its support ."
wiki_dev_308,21,22,which,21,22,who,R:PRON,4,"In the Riksdag the party frequently acted as a supporter to the four party liberal-conservative government lead by Carl Bildt , which unwillingly accepted its support .","In the Riksdag , the party frequently acted as a supporter to the four-party liberal-conservative government led by Carl Bildt , who unwillingly accepted its support .","In the Riksdag {=>,} the party frequently acted as a supporter to the {four party=>four-party} liberal-conservative government {lead=>led} by Carl Bildt , {which=>who} unwillingly accepted its support ."
wiki_test_639,35,36,Fennet,35,36,Fenner,R:SPELL,3,"This concept he transferred to the hotel business , where the design and functionality of the room is thought out to provide the guests with a stay combined with the two most important features Niels Fennet finds for a hotel room which are silent proof walls and a comfortable bed for a good nights sleep .","This concept he transferred to the hotel business , where the design and functionality of the room is thought out to provide the guests with a stay combined with the two most important features Niels Fenner finds for a hotel room , which are silent proof walls and a comfortable bed for a good night's sleep .","This concept he transferred to the hotel business , where the design and functionality of the room is thought out to provide the guests with a stay combined with the two most important features Niels {Fennet=>Fenner} finds for a hotel room {=>,} which are silent proof walls and a comfortable bed for a good {nights=>night's} sleep ."
wiki_test_639,41,41,,41,42,",",M:PUNCT,3,"This concept he transferred to the hotel business , where the design and functionality of the room is thought out to provide the guests with a stay combined with the two most important features Niels Fennet finds for a hotel room which are silent proof walls and a comfortable bed for a good nights sleep .","This concept he transferred to the hotel business , where the design and functionality of the room is thought out to provide the guests with a stay combined with the two most important features Niels Fenner finds for a hotel room , which are silent proof walls and a comfortable bed for a good night's sleep .","This concept he transferred to the hotel business , where the design and functionality of the room is thought out to provide the guests with a stay combined with the two most important features Niels {Fennet=>Fenner} finds for a hotel room {=>,} which are silent proof walls and a comfortable bed for a good {nights=>night's} sleep ."
wiki_test_639,53,54,nights,54,55,night's,R:NOUN,3,"This concept he transferred to the hotel business , where the design and functionality of the room is thought out to provide the guests with a stay combined with the two most important features Niels Fennet finds for a hotel room which are silent proof walls and a comfortable bed for a good nights sleep .","This concept he transferred to the hotel business , where the design and functionality of the room is thought out to provide the guests with a stay combined with the two most important features Niels Fenner finds for a hotel room , which are silent proof walls and a comfortable bed for a good night's sleep .","This concept he transferred to the hotel business , where the design and functionality of the room is thought out to provide the guests with a stay combined with the two most important features Niels {Fennet=>Fenner} finds for a hotel room {=>,} which are silent proof walls and a comfortable bed for a good {nights=>night's} sleep ."
fce_dev_831,4,4,,4,5,",",M:PUNCT,1,That was n't difficult because everybody wanted to go .,"That was n't difficult , because everybody wanted to go .","That was n't difficult {=>,} because everybody wanted to go ."
fce_dev_230,0,3,For me my,0,1,My,U:OTHER,6,"For me my opinions on this one is true it is boring , it might because I am a boy .",My opinion on this is true : it 's boring . This might be because I am a boy .,"{For me my opinions=>My opinion} on this {one=>} is true {=>:} it {is=>'s} boring {, it=>. This} might {=>be} because I am a boy ."
fce_dev_230,3,4,opinions,1,2,opinion,R:NOUN:NUM,6,"For me my opinions on this one is true it is boring , it might because I am a boy .",My opinion on this is true : it 's boring . This might be because I am a boy .,"{For me my opinions=>My opinion} on this {one=>} is true {=>:} it {is=>'s} boring {, it=>. This} might {=>be} because I am a boy ."
fce_dev_230,6,7,one,4,4,,U:NOUN,6,"For me my opinions on this one is true it is boring , it might because I am a boy .",My opinion on this is true : it 's boring . This might be because I am a boy .,"{For me my opinions=>My opinion} on this {one=>} is true {=>:} it {is=>'s} boring {, it=>. This} might {=>be} because I am a boy ."
fce_dev_230,9,9,,6,7,:,M:PUNCT,6,"For me my opinions on this one is true it is boring , it might because I am a boy .",My opinion on this is true : it 's boring . This might be because I am a boy .,"{For me my opinions=>My opinion} on this {one=>} is true {=>:} it {is=>'s} boring {, it=>. This} might {=>be} because I am a boy ."
fce_dev_230,10,11,is,8,9,'s,R:CONTR,6,"For me my opinions on this one is true it is boring , it might because I am a boy .",My opinion on this is true : it 's boring . This might be because I am a boy .,"{For me my opinions=>My opinion} on this {one=>} is true {=>:} it {is=>'s} boring {, it=>. This} might {=>be} because I am a boy ."
fce_dev_230,12,13,",",10,11,.,R:PUNCT,6,"For me my opinions on this one is true it is boring , it might because I am a boy .",My opinion on this is true : it 's boring . This might be because I am a boy .,"{For me my opinions=>My opinion} on this {one=>} is true {=>:} it {is=>'s} boring {, it=>. This} might {=>be} because I am a boy ."
fce_dev_230,13,14,it,11,12,This,R:PRON,6,"For me my opinions on this one is true it is boring , it might because I am a boy .",My opinion on this is true : it 's boring . This might be because I am a boy .,"{For me my opinions=>My opinion} on this {one=>} is true {=>:} it {is=>'s} boring {, it=>. This} might {=>be} because I am a boy ."
fce_dev_230,15,15,,13,14,be,M:VERB,6,"For me my opinions on this one is true it is boring , it might because I am a boy .",My opinion on this is true : it 's boring . This might be because I am a boy .,"{For me my opinions=>My opinion} on this {one=>} is true {=>:} it {is=>'s} boring {, it=>. This} might {=>be} because I am a boy ."
fce_test_443,1,1,,1,2,",",M:PUNCT,4,"But I 'm really happy , that I had even small role in making people enjoying themselves .","But , I 'm really happy that I had even a small role in making people enjoy themselves .","But {=>,} I 'm really happy {,=>} that I had even {=>a} small role in making people {enjoying=>enjoy} themselves ."
fce_test_443,5,6,",",6,6,,U:PUNCT,4,"But I 'm really happy , that I had even small role in making people enjoying themselves .","But , I 'm really happy that I had even a small role in making people enjoy themselves .","But {=>,} I 'm really happy {,=>} that I had even {=>a} small role in making people {enjoying=>enjoy} themselves ."
fce_test_443,10,10,,10,11,a,M:DET,4,"But I 'm really happy , that I had even small role in making people enjoying themselves .","But , I 'm really happy that I had even a small role in making people enjoy themselves .","But {=>,} I 'm really happy {,=>} that I had even {=>a} small role in making people {enjoying=>enjoy} themselves ."
fce_test_443,15,16,enjoying,16,17,enjoy,R:VERB:FORM,4,"But I 'm really happy , that I had even small role in making people enjoying themselves .","But , I 'm really happy that I had even a small role in making people enjoy themselves .","But {=>,} I 'm really happy {,=>} that I had even {=>a} small role in making people {enjoying=>enjoy} themselves ."
wiki_dev_263,1,2,receptor,1,2,receptors,R:NOUN:NUM,2,"Metabotropic receptor , which can have a diverse range of effects on a cell , transduct the signal by second messenger systems .","Metabotropic receptors , which can have a diverse range of effects on a cell , transduce the signal by second messenger systems .","Metabotropic {receptor=>receptors} , which can have a diverse range of effects on a cell , {transduct=>transduce} the signal by second messenger systems ."
wiki_dev_263,15,16,transduct,15,16,transduce,R:SPELL,2,"Metabotropic receptor , which can have a diverse range of effects on a cell , transduct the signal by second messenger systems .","Metabotropic receptors , which can have a diverse range of effects on a cell , transduce the signal by second messenger systems .","Metabotropic {receptor=>receptors} , which can have a diverse range of effects on a cell , {transduct=>transduce} the signal by second messenger systems ."
fce_test_496,4,5,if,4,5,of,R:PREP,1,What do you think if we will go to visit the Arts Museum ?,What do you think of going to visit the Arts Museum ?,What do you think {if we will go=>of going} to visit the Arts Museum ?
